Producto,Categoria,Precio,Cantidad,Cliente,Ciudad,Pais,Fecha
Rössle Sauerkraut,Produce,"36,4",18,Pericles Comidas clásicas,México D.F.,Mexico,13/4/2015
Boston Crab Meat,Seafood,"14,7",21,Pericles Comidas clásicas,México D.F.,Mexico,13/4/2015
Rhönbräu Klosterbier,Beverages,"6,2",10,Pericles Comidas clásicas,México D.F.,Mexico,13/4/2015
Lakkalikööri,Beverages,"14,4",42,Suprêmes délices,Charleroi,Belgium,14/4/2015
Gorgonzola Telino,Dairy Products,10,35,Suprêmes délices,Charleroi,Belgium,14/4/2015
Louisiana Hot Spiced Okra,Condiments,"13,6",60,Suprêmes délices,Charleroi,Belgium,14/4/2015
Outback Lager,Beverages,12,12,HILARIÓN-Abastos,San Cristóbal,Venezuela,17/4/2015
Pâté chinois,Meat/Poultry,"19,2",2,HILARIÓN-Abastos,San Cristóbal,Venezuela,17/4/2015
Chai,Beverages,"14,4",15,Princesa Isabel Vinhos,Lisboa,Portugal,17/4/2015
Sir Rodney's Scones,Confections,8,21,Princesa Isabel Vinhos,Lisboa,Portugal,17/4/2015
Chartreuse verte,Beverages,"14,4",20,Princesa Isabel Vinhos,Lisboa,Portugal,17/4/2015
Ikura,Seafood,"24,8",20,Victuailles en stock,Lyon,France,18/4/2015
Perth Pasties,Meat/Poultry,"26,2",28,Rattlesnake Canyon Grocery,Albuquerque,USA,19/4/2015
Raclette Courdavault,Dairy Products,44,60,Rattlesnake Canyon Grocery,Albuquerque,USA,19/4/2015
Côte de Blaye,Beverages,"210,8",30,Rattlesnake Canyon Grocery,Albuquerque,USA,19/4/2015
Wimmers gute Semmelknödel,Grains/Cereals,"26,6",30,Rattlesnake Canyon Grocery,Albuquerque,USA,19/4/2015
Zaanse koeken,Confections,"7,6",30,Folies gourmandes,Lille,France,20/4/2015
Raclette Courdavault,Dairy Products,44,12,Folies gourmandes,Lille,France,20/4/2015
Maxilaku,Confections,16,24,Ricardo Adocicados,Rio de Janeiro,Brazil,20/4/2015
Camembert Pierrot,Dairy Products,"27,2",40,Ricardo Adocicados,Rio de Janeiro,Brazil,20/4/2015
Boston Crab Meat,Seafood,"14,7",10,Lazy K Kountry Store,Walla Walla,USA,21/4/2015
Sasquatch Ale,Beverages,"11,2",35,White Clover Markets,Seattle,USA,24/4/2015
Original Frankfurter grüne Soße,Condiments,"10,4",30,White Clover Markets,Seattle,USA,24/4/2015
Boston Crab Meat,Seafood,"14,7",10,B's Beverages,London,UK,24/4/2015
Manjimup Dried Apples,Produce,"42,4",3,B's Beverages,London,UK,24/4/2015
Sir Rodney's Scones,Confections,8,14,B's Beverages,London,UK,24/4/2015
Outback Lager,Beverages,12,60,LINO-Delicateses,I. de Margarita,Venezuela,25/4/2015
Chang,Beverages,"15,2",20,LINO-Delicateses,I. de Margarita,Venezuela,25/4/2015
Aniseed Syrup,Condiments,8,20,LINO-Delicateses,I. de Margarita,Venezuela,25/4/2015
Pâté chinois,Meat/Poultry,"19,2",30,LINO-Delicateses,I. de Margarita,Venezuela,25/4/2015
Longlife Tofu,Produce,8,16,HILARIÓN-Abastos,San Cristóbal,Venezuela,26/4/2015
Queso Cabrales,Dairy Products,"16,8",5,HILARIÓN-Abastos,San Cristóbal,Venezuela,26/4/2015
Manjimup Dried Apples,Produce,"42,4",25,HILARIÓN-Abastos,San Cristóbal,Venezuela,26/4/2015
Teatime Chocolate Biscuits,Confections,"7,3",5,Queen Cozinha,São Paulo,Brazil,26/4/2015
Gumbär Gummibärchen,Confections,"24,9",30,Queen Cozinha,São Paulo,Brazil,26/4/2015
Tourtière,Meat/Poultry,"5,9",24,Queen Cozinha,São Paulo,Brazil,26/4/2015
Raclette Courdavault,Dairy Products,44,30,Frankenversand,München,Germany,27/4/2015
Röd Kaviar,Seafood,12,20,Frankenversand,München,Germany,27/4/2015
Queso Cabrales,Dairy Products,"16,8",15,Piccolo und mehr,Salzburg,Austria,28/4/2015
Pavlova,Confections,"13,9",18,Piccolo und mehr,Salzburg,Austria,28/4/2015
Raclette Courdavault,Dairy Products,44,60,HILARIÓN-Abastos,San Cristóbal,Venezuela,1/5/2015
Scottish Longbreads,Confections,10,30,HILARIÓN-Abastos,San Cristóbal,Venezuela,1/5/2015
Rhönbräu Klosterbier,Beverages,"6,2",36,HILARIÓN-Abastos,San Cristóbal,Venezuela,1/5/2015
Gula Malacca,Condiments,"15,5",15,Furia Bacalhau e Frutos do Mar,Lisboa,Portugal,1/5/2015
Original Frankfurter grüne Soße,Condiments,"10,4",7,Furia Bacalhau e Frutos do Mar,Lisboa,Portugal,1/5/2015
Singaporean Hokkien Fried Mee,Grains/Cereals,"11,2",20,Bottom-Dollar Markets,Tsawassen,Canada,2/5/2015
NuNuCa Nuß-Nougat-Creme,Confections,"11,2",60,Bottom-Dollar Markets,Tsawassen,Canada,2/5/2015
Gudbrandsdalsost,Dairy Products,"28,8",10,La maison d'Asie,Toulouse,France,3/5/2015
Louisiana Fiery Hot Pepper Sauce,Condiments,"16,8",15,La maison d'Asie,Toulouse,France,3/5/2015
Louisiana Hot Spiced Okra,Condiments,"13,6",10,La maison d'Asie,Toulouse,France,3/5/2015
Gnocchi di nonna Alice,Grains/Cereals,"30,4",30,Comércio Mineiro,São Paulo,Brazil,3/5/2015
Tunnbröd,Grains/Cereals,"7,2",10,Laughing Bacchus Wine Cellars,Vancouver,Canada,4/5/2015
Jack's New England Clam Chowder,Seafood,"7,7",20,Laughing Bacchus Wine Cellars,Vancouver,Canada,4/5/2015
Original Frankfurter grüne Soße,Condiments,"10,4",5,Laughing Bacchus Wine Cellars,Vancouver,Canada,4/5/2015
Gorgonzola Telino,Dairy Products,10,20,Tradição Hipermercados,São Paulo,Brazil,5/5/2015
Gnocchi di nonna Alice,Grains/Cereals,"30,4",14,Lehmanns Marktstand,Frankfurt a.M. ,Germany,5/5/2015
Original Frankfurter grüne Soße,Condiments,"10,4",25,Lehmanns Marktstand,Frankfurt a.M. ,Germany,5/5/2015
Mozzarella di Giovanni,Dairy Products,"27,8",25,Lehmanns Marktstand,Frankfurt a.M. ,Germany,5/5/2015
Guaraná Fantástica,Beverages,"4,5",14,HILARIÓN-Abastos,San Cristóbal,Venezuela,8/5/2015
Boston Crab Meat,Seafood,"18,4",5,HILARIÓN-Abastos,San Cristóbal,Venezuela,8/5/2015
Singaporean Hokkien Fried Mee,Grains/Cereals,14,30,HILARIÓN-Abastos,San Cristóbal,Venezuela,8/5/2015
Rössle Sauerkraut,Produce,"45,6",20,LILA-Supermercado,Barquisimeto,Venezuela,9/5/2015
Maxilaku,Confections,20,25,LILA-Supermercado,Barquisimeto,Venezuela,9/5/2015
Genen Shouyu,Condiments,"15,5",12,La maison d'Asie,Toulouse,France,10/5/2015
Rössle Sauerkraut,Produce,"45,6",8,La maison d'Asie,Toulouse,France,10/5/2015
Tourtière,Meat/Poultry,"7,45",20,Blauer See Delikatessen,Mannheim,Germany,10/5/2015
Røgede sild,Seafood,"9,5",21,Pericles Comidas clásicas,México D.F.,Mexico,11/5/2015
Perth Pasties,Meat/Poultry,"32,8",6,Pericles Comidas clásicas,México D.F.,Mexico,11/5/2015
Laughing Lumberjack Lager,Beverages,14,30,Pericles Comidas clásicas,México D.F.,Mexico,11/5/2015
Tofu,Produce,"23,25",70,Hungry Owl All-Night Grocers,Cork,Ireland,12/5/2015
Louisiana Fiery Hot Pepper Sauce,Condiments,"21,05",20,Hungry Owl All-Night Grocers,Cork,Ireland,12/5/2015
Chang,Beverages,19,12,White Clover Markets,Seattle,USA,12/5/2015
Sirop d'érable,Condiments,"28,5",25,White Clover Markets,Seattle,USA,12/5/2015
Perth Pasties,Meat/Poultry,"32,8",10,White Clover Markets,Seattle,USA,12/5/2015
Sir Rodney's Scones,Confections,10,12,White Clover Markets,Seattle,USA,12/5/2015
Tarte au sucre,Confections,"49,3",3,Mère Paillarde,Montréal,Canada,15/5/2015
NuNuCa Nuß-Nougat-Creme,Confections,14,18,Königlich Essen,Brandenburg,Germany,16/5/2015
Outback Lager,Beverages,15,14,Königlich Essen,Brandenburg,Germany,16/5/2015
Ipoh Coffee,Beverages,46,15,Antonio Moreno Taquería,México D.F.,Mexico,16/5/2015
Chocolade,Confections,"12,75",15,Antonio Moreno Taquería,México D.F.,Mexico,16/5/2015
Konbu,Seafood,6,10,Ottilies Käseladen,Köln,Germany,17/5/2015
Chartreuse verte,Beverages,18,10,Ottilies Käseladen,Köln,Germany,17/5/2015
Rössle Sauerkraut,Produce,"45,6",3,Blauer See Delikatessen,Mannheim,Germany,18/5/2015
Thüringer Rostbratwurst,Meat/Poultry,"123,79",36,Save-a-lot Markets,Boise,USA,19/5/2015
Rhönbräu Klosterbier,Beverages,"7,75",36,Save-a-lot Markets,Boise,USA,19/5/2015
Chef Anton's Cajun Seasoning,Condiments,22,50,Bon app',Marseille,France,19/5/2015
Uncle Bob's Organic Dried Pears,Produce,30,50,Bon app',Marseille,France,19/5/2015
Northwoods Cranberry Sauce,Condiments,40,10,Bon app',Marseille,France,19/5/2015
Guaraná Fantástica,Beverages,"4,5",10,Familia Arquibaldo,São Paulo,Brazil,22/5/2015
Camembert Pierrot,Dairy Products,34,12,Familia Arquibaldo,São Paulo,Brazil,22/5/2015
Zaanse koeken,Confections,"9,5",6,Familia Arquibaldo,São Paulo,Brazil,22/5/2015
Spegesild,Seafood,12,9,Familia Arquibaldo,São Paulo,Brazil,22/5/2015
Sir Rodney's Scones,Confections,10,40,Die Wandernde Kuh,Stuttgart,Germany,23/5/2015
Mascarpone Fabioli,Dairy Products,32,50,Die Wandernde Kuh,Stuttgart,Germany,23/5/2015
Sirop d'érable,Condiments,"28,5",15,Die Wandernde Kuh,Stuttgart,Germany,23/5/2015
Gnocchi di nonna Alice,Grains/Cereals,38,70,Ernst Handel,Graz,Austria,23/5/2015
Louisiana Fiery Hot Pepper Sauce,Condiments,"21,05",39,Ernst Handel,Graz,Austria,23/5/2015
Rössle Sauerkraut,Produce,"45,6",35,Ernst Handel,Graz,Austria,23/5/2015
Sir Rodney's Marmalade,Confections,81,39,Ernst Handel,Graz,Austria,23/5/2015
Rhönbräu Klosterbier,Beverages,"7,75",50,Ernst Handel,Graz,Austria,23/5/2015
Mishi Kobe Niku,Meat/Poultry,97,16,QUICK-Stop,Cunewalde,Germany,24/5/2015
Pavlova,Confections,"17,45",50,QUICK-Stop,Cunewalde,Germany,24/5/2015
Schoggi Schokolade,Confections,"43,9",120,QUICK-Stop,Cunewalde,Germany,24/5/2015
Geitost,Dairy Products,"2,5",16,QUICK-Stop,Cunewalde,Germany,24/5/2015
Camembert Pierrot,Dairy Products,34,84,QUICK-Stop,Cunewalde,Germany,24/5/2015
Carnarvon Tigers,Seafood,"62,5",25,Hungry Owl All-Night Grocers,Cork,Ireland,25/5/2015
Jack's New England Clam Chowder,Seafood,"9,65",80,Hungry Owl All-Night Grocers,Cork,Ireland,25/5/2015
Singaporean Hokkien Fried Mee,Grains/Cereals,14,20,Hungry Owl All-Night Grocers,Cork,Ireland,25/5/2015
Filo Mix,Grains/Cereals,7,6,North/South,London,UK,25/5/2015
Raclette Courdavault,Dairy Products,55,4,North/South,London,UK,25/5/2015
Outback Lager,Beverages,15,6,North/South,London,UK,25/5/2015
Guaraná Fantástica,Beverages,"4,5",5,Tortuga Restaurante,México D.F.,Mexico,26/5/2015
Côte de Blaye,Beverages,"263,5",15,Tortuga Restaurante,México D.F.,Mexico,26/5/2015
Gula Malacca,Condiments,"19,45",9,Tortuga Restaurante,México D.F.,Mexico,26/5/2015
Ikura,Seafood,31,16,Chop-suey Chinese,Bern,Switzerland,29/5/2015
Gnocchi di nonna Alice,Grains/Cereals,38,40,Chop-suey Chinese,Bern,Switzerland,29/5/2015
Camembert Pierrot,Dairy Products,34,10,Chop-suey Chinese,Bern,Switzerland,29/5/2015
Guaraná Fantástica,Beverages,"4,5",8,Santé Gourmet,Stavern,Norway,30/5/2015
Perth Pasties,Meat/Poultry,"32,8",5,Santé Gourmet,Stavern,Norway,30/5/2015
Scottish Longbreads,Confections,"12,5",6,Cactus Comidas para llevar,Buenos Aires,Argentina,30/5/2015
Steeleye Stout,Beverages,18,3,Cactus Comidas para llevar,Buenos Aires,Argentina,30/5/2015
Jack's New England Clam Chowder,Seafood,"9,65",10,Cactus Comidas para llevar,Buenos Aires,Argentina,30/5/2015
Boston Crab Meat,Seafood,"18,4",25,Lehmanns Marktstand,Frankfurt a.M. ,Germany,31/5/2015
Nord-Ost Matjeshering,Seafood,"25,89",20,Lehmanns Marktstand,Frankfurt a.M. ,Germany,31/5/2015
Chai,Beverages,18,40,Lehmanns Marktstand,Frankfurt a.M. ,Germany,31/5/2015
Northwoods Cranberry Sauce,Condiments,40,24,Lehmanns Marktstand,Frankfurt a.M. ,Germany,31/5/2015
Alice Mutton,Meat/Poultry,39,25,Seven Seas Imports,London,UK,1/6/2015
Sir Rodney's Marmalade,Confections,81,15,Seven Seas Imports,London,UK,1/6/2015
Gravad lax,Seafood,26,18,Seven Seas Imports,London,UK,1/6/2015
Jack's New England Clam Chowder,Seafood,"9,65",6,Seven Seas Imports,London,UK,1/6/2015
Ikura,Seafood,31,2,Berglunds snabbköp,Luleå,Sweden,1/6/2015
Nord-Ost Matjeshering,Seafood,"25,89",10,Berglunds snabbköp,Luleå,Sweden,1/6/2015
Ipoh Coffee,Beverages,46,60,Berglunds snabbköp,Luleå,Sweden,1/6/2015
Tourtière,Meat/Poultry,"7,45",15,Berglunds snabbköp,Luleå,Sweden,1/6/2015
Inlagd Sill,Seafood,19,30,Bon app',Marseille,France,2/6/2015
Boston Crab Meat,Seafood,"18,4",15,Bon app',Marseille,France,2/6/2015
Gnocchi di nonna Alice,Grains/Cereals,38,30,Wartian Herkku,Oulu,Finland,5/6/2015
Chai,Beverages,18,8,Wartian Herkku,Oulu,Finland,5/6/2015
Konbu,Seafood,6,10,Wartian Herkku,Oulu,Finland,5/6/2015
Inlagd Sill,Seafood,19,30,QUICK-Stop,Cunewalde,Germany,5/6/2015
Chef Anton's Cajun Seasoning,Condiments,22,50,QUICK-Stop,Cunewalde,Germany,5/6/2015
Queso Cabrales,Dairy Products,21,3,Great Lakes Food Market,Eugene,USA,6/6/2015
Geitost,Dairy Products,"2,5",8,Great Lakes Food Market,Eugene,USA,6/6/2015
Mozzarella di Giovanni,Dairy Products,"34,8",9,Great Lakes Food Market,Eugene,USA,6/6/2015
Gudbrandsdalsost,Dairy Products,36,10,Maison Dewey,Bruxelles,Belgium,7/6/2015
Pâté chinois,Meat/Poultry,24,14,Maison Dewey,Bruxelles,Belgium,7/6/2015
Scottish Longbreads,Confections,"12,5",20,Maison Dewey,Bruxelles,Belgium,7/6/2015
Lakkalikööri,Beverages,18,50,Piccolo und mehr,Salzburg,Austria,8/6/2015
Sirop d'érable,Condiments,"28,5",20,Piccolo und mehr,Salzburg,Austria,8/6/2015
Alice Mutton,Meat/Poultry,39,40,Piccolo und mehr,Salzburg,Austria,8/6/2015
Ipoh Coffee,Beverages,46,25,Piccolo und mehr,Salzburg,Austria,8/6/2015
Raclette Courdavault,Dairy Products,55,2,Océano Atlántico Ltda.,Buenos Aires,Argentina,8/6/2015
Louisiana Hot Spiced Okra,Condiments,17,24,Eastern Connection,London,UK,9/6/2015
Nord-Ost Matjeshering,Seafood,"25,89",15,Eastern Connection,London,UK,9/6/2015
Röd Kaviar,Seafood,15,24,Folk och fä HB,Bräcke,Sweden,12/6/2015
Chef Anton's Cajun Seasoning,Condiments,22,50,Folk och fä HB,Bräcke,Sweden,12/6/2015
Mozzarella di Giovanni,Dairy Products,"34,8",24,Folk och fä HB,Bräcke,Sweden,12/6/2015
Nord-Ost Matjeshering,Seafood,"25,89",10,Lehmanns Marktstand,Frankfurt a.M. ,Germany,12/6/2015
Boston Crab Meat,Seafood,"18,4",10,Lehmanns Marktstand,Frankfurt a.M. ,Germany,12/6/2015
Tourtière,Meat/Poultry,"7,45",10,Lehmanns Marktstand,Frankfurt a.M. ,Germany,12/6/2015
Queso Cabrales,Dairy Products,21,50,Antonio Moreno Taquería,México D.F.,Mexico,13/6/2015
Boston Crab Meat,Seafood,"18,4",10,Antonio Moreno Taquería,México D.F.,Mexico,13/6/2015
Ravioli Angelo,Grains/Cereals,"19,5",5,Antonio Moreno Taquería,México D.F.,Mexico,13/6/2015
Raclette Courdavault,Dairy Products,55,15,Antonio Moreno Taquería,México D.F.,Mexico,13/6/2015
Queso Manchego La Pastora,Dairy Products,38,15,Lehmanns Marktstand,Frankfurt a.M. ,Germany,14/6/2015
Gorgonzola Telino,Dairy Products,"12,5",20,Lehmanns Marktstand,Frankfurt a.M. ,Germany,14/6/2015
Geitost,Dairy Products,"2,5",30,Lehmanns Marktstand,Frankfurt a.M. ,Germany,14/6/2015
Camembert Pierrot,Dairy Products,34,35,Lehmanns Marktstand,Frankfurt a.M. ,Germany,14/6/2015
Mozzarella di Giovanni,Dairy Products,"34,8",21,Richter Supermarkt,Genève,Switzerland,14/6/2015
Röd Kaviar,Seafood,15,9,Richter Supermarkt,Genève,Switzerland,14/6/2015
Manjimup Dried Apples,Produce,53,6,Richter Supermarkt,Genève,Switzerland,14/6/2015
Gorgonzola Telino,Dairy Products,"12,5",30,Richter Supermarkt,Genève,Switzerland,14/6/2015
Escargots de Bourgogne,Seafood,"13,25",20,Richter Supermarkt,Genève,Switzerland,14/6/2015
Outback Lager,Beverages,15,7,B's Beverages,London,UK,15/6/2015
Mozzarella di Giovanni,Dairy Products,"34,8",1,B's Beverages,London,UK,15/6/2015
Maxilaku,Confections,20,6,B's Beverages,London,UK,16/6/2015
Konbu,Seafood,6,8,B's Beverages,London,UK,16/6/2015
Sir Rodney's Scones,Confections,10,15,B's Beverages,London,UK,16/6/2015
Geitost,Dairy Products,"2,5",15,B's Beverages,London,UK,16/6/2015
Scottish Longbreads,Confections,"12,5",35,QUICK-Stop,Cunewalde,Germany,19/6/2015
Côte de Blaye,Beverages,"263,5",30,QUICK-Stop,Cunewalde,Germany,19/6/2015
Aniseed Syrup,Condiments,10,60,QUICK-Stop,Cunewalde,Germany,19/6/2015
Gumbär Gummibärchen,Confections,"31,23",40,QUICK-Stop,Cunewalde,Germany,19/6/2015
Guaraná Fantástica,Beverages,"4,5",35,Hanari Carnes,Rio de Janeiro,Brazil,19/6/2015
Côte de Blaye,Beverages,"263,5",4,Hanari Carnes,Rio de Janeiro,Brazil,19/6/2015
Louisiana Fiery Hot Pepper Sauce,Condiments,"21,05",36,Hanari Carnes,Rio de Janeiro,Brazil,19/6/2015
Fløtemysost,Dairy Products,"21,5",9,Hanari Carnes,Rio de Janeiro,Brazil,19/6/2015
Queso Cabrales,Dairy Products,21,15,Königlich Essen,Brandenburg,Germany,20/6/2015
Tourtière,Meat/Poultry,"7,45",24,Königlich Essen,Brandenburg,Germany,20/6/2015
Queso Manchego La Pastora,Dairy Products,38,30,LILA-Supermercado,Barquisimeto,Venezuela,21/6/2015
Tunnbröd,Grains/Cereals,9,70,LILA-Supermercado,Barquisimeto,Venezuela,21/6/2015
Rössle Sauerkraut,Produce,"45,6",7,Lonesome Pine Restaurant,Portland,USA,21/6/2015
Laughing Lumberjack Lager,Beverages,14,7,Lonesome Pine Restaurant,Portland,USA,21/6/2015
Queso Cabrales,Dairy Products,21,10,Lazy K Kountry Store,Walla Walla,USA,22/6/2015
Tarte au sucre,Confections,"49,3",40,Victuailles en stock,Lyon,France,23/6/2015
Uncle Bob's Organic Dried Pears,Produce,30,10,Victuailles en stock,Lyon,France,23/6/2015
Steeleye Stout,Beverages,18,30,Victuailles en stock,Lyon,France,23/6/2015
Mascarpone Fabioli,Dairy Products,32,24,Seven Seas Imports,London,UK,23/6/2015
Inlagd Sill,Seafood,19,60,Seven Seas Imports,London,UK,23/6/2015
Sasquatch Ale,Beverages,14,10,Toms Spezialitäten,Münster,Germany,26/6/2015
Jack's New England Clam Chowder,Seafood,"9,65",14,Toms Spezialitäten,Münster,Germany,26/6/2015
Gorgonzola Telino,Dairy Products,"12,5",55,QUICK-Stop,Cunewalde,Germany,27/6/2015
Røgede sild,Seafood,"9,5",100,QUICK-Stop,Cunewalde,Germany,27/6/2015
Manjimup Dried Apples,Produce,53,48,QUICK-Stop,Cunewalde,Germany,27/6/2015
Sir Rodney's Scones,Confections,10,6,Godos Cocina Típica,Sevilla,Spain,28/6/2015
Sirop d'érable,Condiments,"28,5",10,Godos Cocina Típica,Sevilla,Spain,28/6/2015
Alice Mutton,Meat/Poultry,39,8,Godos Cocina Típica,Sevilla,Spain,28/6/2015
Teatime Chocolate Biscuits,Confections,"9,2",10,Godos Cocina Típica,Sevilla,Spain,28/6/2015
Pavlova,Confections,"17,45",40,Furia Bacalhau e Frutos do Mar,Lisboa,Portugal,28/6/2015
Steeleye Stout,Beverages,18,20,Furia Bacalhau e Frutos do Mar,Lisboa,Portugal,28/6/2015
Gula Malacca,Condiments,"19,45",40,Furia Bacalhau e Frutos do Mar,Lisboa,Portugal,28/6/2015
Gudbrandsdalsost,Dairy Products,36,18,HILARIÓN-Abastos,San Cristóbal,Venezuela,29/6/2015
Rhönbräu Klosterbier,Beverages,"7,75",30,HILARIÓN-Abastos,San Cristóbal,Venezuela,29/6/2015
Pavlova,Confections,"17,45",14,Wartian Herkku,Oulu,Finland,30/6/2015
Steeleye Stout,Beverages,18,6,Wartian Herkku,Oulu,Finland,30/6/2015
Gustaf's Knäckebröd,Grains/Cereals,21,24,Wartian Herkku,Oulu,Finland,30/6/2015
Queso Cabrales,Dairy Products,21,15,Wartian Herkku,Oulu,Finland,30/6/2015
Gorgonzola Telino,Dairy Products,"12,5",30,Wartian Herkku,Oulu,Finland,30/6/2015
Original Frankfurter grüne Soße,Condiments,13,10,Ottilies Käseladen,Köln,Germany,30/6/2015
Pavlova,Confections,"17,45",30,Ottilies Käseladen,Köln,Germany,30/6/2015
Tunnbröd,Grains/Cereals,9,20,Ottilies Käseladen,Köln,Germany,30/6/2015
Tarte au sucre,Confections,"49,3",20,Ottilies Käseladen,Köln,Germany,30/6/2015
Gnocchi di nonna Alice,Grains/Cereals,38,40,Save-a-lot Markets,Boise,USA,3/7/2015
Manjimup Dried Apples,Produce,53,20,Save-a-lot Markets,Boise,USA,3/7/2015
Guaraná Fantástica,Beverages,"4,5",18,Save-a-lot Markets,Boise,USA,3/7/2015
Tofu,Produce,"23,25",30,Save-a-lot Markets,Boise,USA,3/7/2015
Teatime Chocolate Biscuits,Confections,"9,2",35,Save-a-lot Markets,Boise,USA,3/7/2015
Mozzarella di Giovanni,Dairy Products,"34,8",24,Simons bistro,København,Denmark,4/7/2015
Wimmers gute Semmelknödel,Grains/Cereals,"33,25",30,Lehmanns Marktstand,Frankfurt a.M. ,Germany,4/7/2015
Rhönbräu Klosterbier,Beverages,"7,75",20,Lehmanns Marktstand,Frankfurt a.M. ,Germany,4/7/2015
Zaanse koeken,Confections,"9,5",25,Around the Horn,Colchester,UK,5/7/2015
Manjimup Dried Apples,Produce,53,20,Around the Horn,Colchester,UK,5/7/2015
Filo Mix,Grains/Cereals,7,30,Around the Horn,Colchester,UK,5/7/2015
Perth Pasties,Meat/Poultry,"32,8",18,Around the Horn,Colchester,UK,5/7/2015
Röd Kaviar,Seafood,15,3,Around the Horn,Colchester,UK,5/7/2015
Jack's New England Clam Chowder,Seafood,"9,65",12,Blondel père et fils,Strasbourg,France,6/7/2015
Pâté chinois,Meat/Poultry,24,18,Blondel père et fils,Strasbourg,France,6/7/2015
Tarte au sucre,Confections,"49,3",15,Frankenversand,München,Germany,7/7/2015
Nord-Ost Matjeshering,Seafood,"25,89",20,Frankenversand,München,Germany,7/7/2015
Manjimup Dried Apples,Produce,53,50,Folk och fä HB,Bräcke,Sweden,7/7/2015
Gula Malacca,Condiments,"19,45",10,Folk och fä HB,Bräcke,Sweden,7/7/2015
Geitost,Dairy Products,"2,5",20,Reggiani Caseifici,Reggio Emilia,Italy,10/7/2015
Tarte au sucre,Confections,"49,3",10,Reggiani Caseifici,Reggio Emilia,Italy,10/7/2015
Inlagd Sill,Seafood,19,25,Ricardo Adocicados,Rio de Janeiro,Brazil,11/7/2015
Filo Mix,Grains/Cereals,7,70,Ricardo Adocicados,Rio de Janeiro,Brazil,11/7/2015
Gorgonzola Telino,Dairy Products,"12,5",6,Rattlesnake Canyon Grocery,Albuquerque,USA,11/7/2015
Pâté chinois,Meat/Poultry,24,25,Rattlesnake Canyon Grocery,Albuquerque,USA,11/7/2015
Alice Mutton,Meat/Poultry,39,16,Rattlesnake Canyon Grocery,Albuquerque,USA,11/7/2015
Wimmers gute Semmelknödel,Grains/Cereals,"33,25",18,Mère Paillarde,Montréal,Canada,12/7/2015
Guaraná Fantástica,Beverages,"4,5",25,Mère Paillarde,Montréal,Canada,12/7/2015
Queso Cabrales,Dairy Products,21,35,Blondel père et fils,Strasbourg,France,13/7/2015
Carnarvon Tigers,Seafood,"62,5",18,Blondel père et fils,Strasbourg,France,13/7/2015
Lakkalikööri,Beverages,18,10,Blondel père et fils,Strasbourg,France,13/7/2015
Manjimup Dried Apples,Produce,53,3,Hungry Owl All-Night Grocers,Cork,Ireland,13/7/2015
Raclette Courdavault,Dairy Products,55,40,Hungry Owl All-Night Grocers,Cork,Ireland,13/7/2015
Gorgonzola Telino,Dairy Products,"12,5",60,Hungry Owl All-Night Grocers,Cork,Ireland,13/7/2015
Ikura,Seafood,31,5,Galería del gastrónomo,Barcelona,Spain,14/7/2015
Gorgonzola Telino,Dairy Products,"12,5",35,Rattlesnake Canyon Grocery,Albuquerque,USA,17/7/2015
Lakkalikööri,Beverages,18,30,Rattlesnake Canyon Grocery,Albuquerque,USA,17/7/2015
Queso Cabrales,Dairy Products,21,15,Mère Paillarde,Montréal,Canada,18/7/2015
Gnocchi di nonna Alice,Grains/Cereals,38,60,Mère Paillarde,Montréal,Canada,18/7/2015
Singaporean Hokkien Fried Mee,Grains/Cereals,14,28,Ernst Handel,Graz,Austria,18/7/2015
Tofu,Produce,"23,25",11,Ernst Handel,Graz,Austria,18/7/2015
Rhönbräu Klosterbier,Beverages,"7,75",15,Berglunds snabbköp,Luleå,Sweden,19/7/2015
Boston Crab Meat,Seafood,"18,4",50,Berglunds snabbköp,Luleå,Sweden,19/7/2015
Pavlova,Confections,"17,45",12,Berglunds snabbköp,Luleå,Sweden,19/7/2015
Mascarpone Fabioli,Dairy Products,32,10,Berglunds snabbköp,Luleå,Sweden,19/7/2015
Alice Mutton,Meat/Poultry,39,18,Antonio Moreno Taquería,México D.F.,Mexico,20/7/2015
Sasquatch Ale,Beverages,14,40,Antonio Moreno Taquería,México D.F.,Mexico,20/7/2015
Perth Pasties,Meat/Poultry,"32,8",25,Antonio Moreno Taquería,México D.F.,Mexico,20/7/2015
Wimmers gute Semmelknödel,Grains/Cereals,"33,25",6,Trail's Head Gourmet Provisioners,Kirkland,USA,20/7/2015
Tarte au sucre,Confections,"49,3",10,Trail's Head Gourmet Provisioners,Kirkland,USA,20/7/2015
Boston Crab Meat,Seafood,"18,4",2,Trail's Head Gourmet Provisioners,Kirkland,USA,20/7/2015
Geitost,Dairy Products,"2,5",14,Trail's Head Gourmet Provisioners,Kirkland,USA,20/7/2015
Vegie-spread,Condiments,"43,9",6,Morgenstern Gesundkost,Leipzig,Germany,21/7/2015
Mozzarella di Giovanni,Dairy Products,"34,8",30,Morgenstern Gesundkost,Leipzig,Germany,21/7/2015
Lakkalikööri,Beverages,18,10,Morgenstern Gesundkost,Leipzig,Germany,21/7/2015
Raclette Courdavault,Dairy Products,55,12,Morgenstern Gesundkost,Leipzig,Germany,21/7/2015
Gorgonzola Telino,Dairy Products,"12,5",20,Tortuga Restaurante,México D.F.,Mexico,24/7/2015
